date,transformer_1,transformer_2,transformer_3,transformer_4,transformer_5,transformer_6,transformer_7,transformer_8,transformer_9,transformer_10,transformer_11,transformer_12,transformer_13,transformer_14,transformer_15,transformer_16,transformer_17,transformer_18,transformer_19,transformer_20,transformer_21,transformer_22,transformer_23,transformer_24,transformer_25,transformer_26,transformer_27,transformer_28,transformer_29,transformer_30,transformer_31,transformer_32,transformer_33,transformer_34,transformer_35,transformer_36,transformer_37,transformer_38,transformer_39
2019-12-09T03:00:00.000000+0000,109.1064,11.99393,57.73339,49.14088,21.28388,50.95879,76.74229,85.53949,36.93689,53.81123,91.74055,52.43618,56.99849,26.22418,93.99783,14.17668,59.92259,27.66199,30.34049,98.27415,94.96555,50.18391,10.52354,38.79425,53.14665,47.63542,66.1142,31.04635,29.4489,70.09715,70.84122,61.51418,9.759024,57.16435,106.6356,43.87767,21.1227,30.4211,11.41721
2019-12-09T03:15:00.000000+0000,110.2573,12.17608,66.28027,48.19261,21.47533,48.61963,75.51984,85.37797,34.76092,59.35484,90.02209,53.18901,58.20015,24.05417,91.97885,14.73501,62.6979,26.12851,36.60856,97.81646,92.5575,49.35379,10.50657,38.18238,54.33057,44.16607,65.18659,30.6152,28.94288,68.16145,71.33929,59.72741,9.84325,57.88437,97.66799,42.57683,21.23534,29.36235,13.92236
2019-12-09T03:30:00.000000+0000,110.6705,12.03456,65.92892,44.58058,21.13677,48.03399,76.36224,85.86258,34.56198,57.40073,102.4432,48.7637,59.64617,28.51121,94.96947,14.31499,63.77916,25.32578,37.47386,96.25259,92.50237,50.80099,10.71886,39.22784,52.0303,49.42605,63.11084,25.56743,30.9593,69.46627,72.82738,62.18724,9.836145,56.05939,105.1317,47.1334,20.64521,32.86135,17.01857
2019-12-09T03:45:00.000000+0000,113.9857,12.52571,65.19565,43.49221,22.52796,49.08976,77.52401,81.93614,34.96407,57.05462,90.77095,52.27169,54.39209,21.18064,95.58965,14.30482,58.00115,23.57613,35.85195,92.19326,91.46764,49.65492,10.47284,38.36544,52.90648,46.19396,65.65491,28.29847,32.46114,71.8261,72.05366,59.22203,10.23293,55.81087,102.4687,49.23968,20.53138,32.41753,11.62247
2019-12-09T04:00:00.000000+0000,110.0641,11.61839,69.66648,47.91415,20.38281,46.89374,73.98505,81.09735,32.21063,52.70693,89.92387,50.89314,57.43932,28.54805,95.61066,13.8822,57.20732,24.21156,38.26723,90.12742,93.27659,47.78694,10.4267,37.22536,50.34117,43.11285,66.98956,30.85668,29.15288,70.04001,72.69473,59.8176,10.16287,55.51659,102.8786,50.66723,22.76738,30.93136,15.21851
2019-12-09T04:15:00.000000+0000,111.3004,11.44262,58.99652,50.46596,20.83839,46.37491,76.86613,80.82632,36.78202,55.47017,102.9002,51.06399,54.51222,21.56998,93.55406,14.76548,66.16629,25.23113,40.02304,93.80302,95.39913,56.45868,10.90568,41.57477,50.13197,49.96219,68.69984,30.43338,32.78081,67.96236,71.90928,61.89504,10.01657,56.19138,106.9208,46.35516,21.38574,31.20992,14.79147
2019-12-09T04:30:00.000000+0000,101.9427,11.58547,57.18935,45.02777,21.99915,47.32986,77.89028,83.32758,39.0288,54.17928,87.92024,55.39444,54.59577,27.15504,93.17115,15.15238,66.65918,27.12982,34.03908,88.04985,94.75809,50.79262,10.5033,43.02431,50.17918,45.28834,66.53156,27.51093,34.33181,69.55067,77.25071,59.47804,10.18797,54.75917,104.8392,46.01346,21.68358,31.95646,11.30248
2019-12-09T04:45:00.000000+0000,108.2695,11.20243,56.61205,48.02424,23.70062,53.9262,77.74991,76.58005,37.98032,51.87044,100.2205,57.22692,55.95031,25.10432,98.53527,14.5937,69.27793,26.60512,34.27302,103.1642,92.48135,51.9106,10.4128,42.20272,50.75744,46.24318,71.07092,30.93543,35.91876,73.96008,72.95963,60.14218,10.1094,57.17737,114.5776,49.31255,21.67154,31.26277,11.47632
2019-12-09T05:00:00.000000+0000,111.1259,11.43352,59.44798,45.53478,25.174,52.35458,80.18874,78.59071,40.95768,54.4169,94.56114,62.6044,57.62576,23.62413,102.6752,13.9792,90.72203,24.21988,33.74151,112.8452,95.63316,52.25,10.3941,44.47019,54.56686,46.97802,72.82195,30.04567,34.16591,76.86608,77.34649,65.77687,10.09855,58.45349,110.1746,54.35577,22.48711,35.4853,17.39823
2019-12-09T05:15:00.000000+0000,111.2764,11.74805,59.5848,52.03168,24.92073,56.01246,85.03891,81.46626,48.27532,56.64075,89.17614,67.01311,58.78189,25.39087,105.3206,14.19122,102.14,28.42243,35.65945,103.7307,100.1897,56.89088,10.3547,44.69732,54.51348,51.93926,73.27901,29.91669,34.92677,80.83258,82.74829,72.9209,10.33624,63.83345,119.1996,53.8536,25.40787,33.9849,12.66134
2019-12-09T05:30:00.000000+0000,115.312,12.9769,64.3328,53.70697,25.27712,61.46845,94.34143,84.02536,45.79689,64.90778,111.207,69.8607,57.87578,27.83971,112.0232,14.62639,113.5118,29.11051,37.39164,115.425,109.0728,60.2671,10.38325,49.33903,56.4122,55.25605,71.92419,30.84092,35.40835,77.06798,85.06424,75.18652,10.99334,66.07357,125.574,51.34156,22.76827,36.17263,13.18317
2019-12-09T05:45:00.000000+0000,116.9065,13.26222,65.03335,60.42799,25.29933,61.80872,93.92595,86.58104,51.31976,67.03928,127.6472,76.85168,60.77915,24.86071,111.4555,14.63866,117.7751,30.11076,40.33462,118.1875,108.6959,66.00921,36.30922,54.29097,66.99316,57.00697,77.61979,28.45479,37.80317,75.94427,93.02935,74.17351,12.57269,62.68193,127.0652,58.71648,26.44705,39.46821,12.25604
2019-12-09T06:00:00.000000+0000,116.7597,14.21225,72.39323,66.32413,30.25385,67.51338,99.59935,85.44581,57.49985,80.19662,180.9789,82.07011,63.08384,30.23638,106.0546,14.59148,118.8234,37.13633,56.89623,160.4515,112.8548,71.04764,38.45948,58.12347,68.68026,59.63451,86.43163,30.47834,43.49021,77.12432,95.60661,74.40816,13.16353,65.06234,151.4147,61.80336,27.83144,45.77799,16.87855
2019-12-09T06:15:00.000000+0000,103.5598,14.78236,81.05554,70.18328,37.89827,70.97139,109.9891,83.11837,66.13122,78.07207,208.4713,89.81013,66.35648,23.72673,119.5395,15.33009,133.0927,34.82805,60.62921,171.1021,115.841,77.51038,81.06941,59.82134,70.03172,70.92307,96.89645,33.54453,49.17875,84.53912,96.92467,79.88834,12.82971,67.64588,159.5744,73.7851,32.34927,49.31673,19.99434
2019-12-09T06:30:00.000000+0000,109.045,12.4934,86.16499,73.46603,39.34769,92.95863,118.3659,88.45695,66.75349,80.56023,208.1636,91.72786,64.42675,32.23447,130.7086,15.73525,140.0635,37.4888,63.4001,179.7769,123.7599,76.33501,84.53483,64.70551,70.31081,70.33543,114.9557,33.29551,59.22584,90.00103,112.0888,82.43545,13.6069,74.6196,156.0464,77.52705,34.97252,51.08139,23.00977
2019-12-09T06:45:00.000000+0000,113.3355,12.16267,92.31375,84.98656,39.0103,99.25713,127.1721,88.25201,71.5674,81.02612,204.3964,96.08501,64.78958,25.70174,125.5416,18.27015,160.1125,37.70752,63.60446,202.1662,123.7743,84.75866,85.44384,69.70307,73.50731,77.92095,123.9308,37.14265,67.91043,99.39792,111.7686,92.78167,15.3019,75.82761,158.9524,76.58897,36.75682,52.03246,27.31873
2019-12-09T07:00:00.000000+0000,120.8636,12.4882,94.71909,94.10169,41.92514,107.0927,130.2623,90.37206,65.13947,88.6879,220.0981,106.0706,68.24574,27.01243,123.864,20.51323,192.4336,39.64281,69.3166,233.1464,118.2261,86.41138,108.2139,70.46333,79.8181,90.78904,136.2351,35.25702,65.73978,95.84253,120.0269,98.66601,18.99491,83.51447,168.4303,78.14165,41.29578,58.52607,20.074
2019-12-09T07:15:00.000000+0000,117.6813,12.99643,94.39746,90.51955,48.00998,101.9747,124.0943,92.16821,67.10519,84.14418,239.7481,106.7928,72.19933,27.98555,120.0737,18.81415,179.0632,49.95421,77.98495,235.3341,126.7513,86.2486,143.107,74.51826,80.57609,100.4616,139.0368,38.35454,61.69794,94.26067,113.6348,131.719,18.35943,80.59309,169.2451,78.30302,43.25091,60.65988,22.34658
2019-12-09T07:30:00.000000+0000,121.5404,18.43038,86.81358,89.80954,68.07876,100.3063,121.1361,93.5964,76.24059,89.1723,230.4487,93.878,67.3775,27.62997,123.0385,13.08294,183.8386,52.14495,76.08967,260.7521,125.5047,86.93044,140.8515,70.01025,74.02417,93.1249,153.328,34.66852,52.98052,89.58638,113.1028,122.2291,16.19359,76.45201,164.2136,80.48493,38.92704,65.96861,22.82193
2019-12-09T07:45:00.000000+0000,119.4753,20.73595,93.60762,95.9278,71.30157,95.77718,109.6821,95.11711,83.17612,93.60786,240.6383,90.68236,68.97438,34.5447,139.955,10.43945,190.0164,52.64508,91.65032,263.1702,132.3192,88.84495,145.0782,74.0648,71.68502,98.38332,165.1196,38.12035,51.1851,89.64516,112.5903,135.1889,17.90586,75.93192,159.5886,78.74835,40.77819,61.91668,24.95744
2019-12-09T08:00:00.000000+0000,130.0341,17.60082,80.66038,96.07391,77.29974,84.39543,113.2509,95.07793,71.99204,81.8019,231.8261,91.20802,70.23276,30.45717,138.6076,11.39515,192.9212,55.34907,83.5607,272.8411,125.7474,99.97022,144.2166,72.07853,69.03355,98.36449,168.3522,39.57789,50.32486,91.09151,115.9376,136.5422,20.13204,81.92043,178.0809,88.5674,49.85218,61.67367,30.37775
2019-12-09T08:15:00.000000+0000,141.553,19.34143,89.90413,94.98887,72.92591,89.58881,116.377,90.12109,76.51714,85.71339,253.3233,84.07498,71.21016,33.56979,128.8048,17.0158,193.737,53.02448,95.01108,282.6155,118.7502,97.34957,147.2674,73.6913,80.56935,99.47827,180.8767,39.23409,58.3207,86.99954,119.8787,132.6439,17.39934,82.6529,188.3965,95.04498,42.01962,64.78837,29.72492
2019-12-09T08:30:00.000000+0000,148.8857,19.43081,101.9261,87.86193,76.83505,97.3047,121.6019,92.24279,71.84576,87.79561,234.0747,86.49989,73.50941,29.89572,136.9502,12.64367,185.3682,55.16452,96.13361,288.4769,128.7392,95.87528,145.2998,72.71315,81.5293,102.607,185.8387,41.70811,52.42043,91.65328,117.0055,130.2791,13.97625,75.81406,197.8651,95.46622,40.08341,65.12055,27.10765
2019-12-09T08:45:00.000000+0000,150.3115,21.73479,103.8953,84.9784,67.32557,102.7462,117.1665,92.06483,77.35739,98.85828,236.6969,94.32777,77.7533,28.88587,146.1293,12.35095,189.5098,49.65996,80.88531,278.4951,141.2837,97.90105,147.8752,70.47885,83.06227,112.6141,185.226,42.30185,56.49579,98.06647,121.4151,142.9007,16.77371,77.03397,192.1622,85.48963,41.53763,65.34524,30.9569
2019-12-09T09:00:00.000000+0000,138.0548,21.47929,89.21342,91.90267,64.07086,113.765,124.701,99.54674,74.99387,95.68208,245.2389,96.57214,72.12977,27.92591,146.1346,10.45515,184.8172,53.8255,83.61076,293.3228,148.1262,93.82583,144.8659,68.26014,82.04083,109.3649,181.1111,37.00544,54.62848,95.78624,121.557,146.4262,17.62178,87.11991,180.8707,83.4046,44.79507,65.4368,27.22606
2019-12-09T09:15:00.000000+0000,138.0794,24.9697,87.06137,98.94119,58.53127,115.5624,119.1468,103.041,69.81163,82.20045,234.3318,93.76462,75.88832,27.83241,143.1548,8.929616,182.7038,57.66647,81.22369,271.1423,141.9327,87.43593,144.4729,65.89711,86.09187,106.2189,186.4028,34.30582,49.39458,93.92959,129.7872,133.517,15.88934,84.37686,188.2404,87.49488,41.81197,62.95473,22.32549
2019-12-09T09:30:00.000000+0000,135.2732,26.4766,79.74921,104.092,62.02589,94.39809,123.9239,102.2136,71.8746,81.26688,251.1384,90.37395,73.2178,29.80212,135.559,10.00955,191.7259,59.12133,84.44956,288.2717,145.4178,85.35321,150.8955,69.71322,76.69723,108.7165,186.0782,34.83216,51.82859,93.23396,134.9371,128.9913,14.34272,90.03815,183.1521,86.57797,41.63781,61.68309,27.09944
2019-12-09T09:45:00.000000+0000,133.2336,22.75034,80.77849,95.89734,60.30454,88.57103,129.011,103.5068,84.594,93.15395,261.3115,97.53869,70.72855,28.37936,130.4977,12.0598,199.1352,61.44945,77.28942,295.8072,136.8097,89.23949,146.0496,67.12514,74.41786,109.2088,179.34,35.02124,55.48756,86.52016,126.3637,129.1758,14.36837,83.61065,195.9508,89.03584,39.67283,69.73771,25.29368
2019-12-09T10:00:00.000000+0000,145.661,22.05396,83.56479,95.01614,63.51764,89.27324,133.618,109.2183,71.01272,90.31975,267.6951,101.8007,73.57652,25.87324,131.2429,11.72387,211.1027,53.55847,74.08421,287.3325,130.3076,89.94177,164.5177,61.89287,68.1833,113.4082,172.6381,42.04767,58.40467,88.39999,139.0478,120.1392,12.28203,93.12704,203.7396,76.68347,45.9925,65.60556,23.62021
2019-12-09T10:15:00.000000+0000,172.6421,21.84306,87.96994,85.81416,68.16115,82.2729,123.5025,116.366,68.58521,78.7138,249.7419,88.51231,79.46011,32.59584,135.5834,7.297774,176.237,47.6041,95.16535,299.0916,118.8056,94.48919,168.7824,68.62653,72.11528,104.2583,182.2,38.55046,42.41379,85.14652,131.3905,123.9277,12.40545,91.97611,217.4374,78.70886,36.75957,67.69394,23.21803
2019-12-09T10:30:00.000000+0000,173.715,20.11347,81.25729,78.36502,66.188,91.69607,112.2852,110.8062,59.48193,81.1411,248.1154,89.45422,77.55221,26.66626,134.6309,8.187806,181.0513,53.84119,78.95679,301.8889,122.459,86.36594,167.3601,69.36929,72.66521,105.902,179.6597,33.96486,54.52186,82.83028,134.1856,132.3902,10.95092,93.63187,201.3223,85.8486,33.57322,63.01901,25.55068
2019-12-09T10:45:00.000000+0000,175.7112,23.37691,87.47035,78.84486,65.70065,94.18092,121.1548,120.9558,61.3826,78.23801,240.3418,95.98738,71.64084,35.04313,131.5016,8.670028,191.8839,51.81118,78.73188,291.616,135.1266,87.14064,169.4596,63.7455,73.6694,105.4748,178.0683,30.33542,48.59856,84.00983,139.3533,136.7584,10.86675,92.64566,205.0478,94.31125,37.09362,59.50674,27.12894
2019-12-09T11:00:00.000000+0000,185.6339,25.92442,88.61134,87.74566,60.6866,91.88879,122.5417,120.3934,63.92157,82.61729,243.5878,95.96038,85.78815,27.2995,142.3892,9.913818,184.0446,50.71197,73.30552,292.5483,138.6219,92.95444,168.4205,62.54558,75.20795,103.5599,188.144,36.68071,54.44294,84.81134,132.9783,127.5844,11.06385,94.47691,204.4,91.18723,42.65862,61.64711,27.11189
2019-12-09T11:15:00.000000+0000,209.7534,24.05587,102.8887,76.56745,59.09033,91.53354,130.436,114.756,74.11532,72.67136,241.0084,93.05605,80.57055,29.67731,146.8577,8.524105,169.8825,50.13887,72.3415,285.9552,138.4647,93.62436,167.8657,62.68999,80.34169,99.6022,174.3925,38.73515,56.8631,91.15716,117.2533,131.9384,13.04976,89.91509,211.1759,82.55947,43.45865,64.79073,23.56331
2019-12-09T11:30:00.000000+0000,205.4724,26.14249,98.28108,80.48003,61.12573,83.88144,121.5191,128.997,71.67281,70.13947,241.5612,85.16656,80.79943,36.80619,141.6858,9.392637,169.3443,54.96572,72.18108,271.1171,120.2917,83.7342,168.7435,58.83822,81.36917,104.2905,181.1795,41.67846,55.36806,91.19479,124.3692,119.8705,15.1112,87.66962,231.8038,79.05811,48.66793,67.4283,16.89962
2019-12-09T11:45:00.000000+0000,192.5884,21.54388,93.15356,88.58376,62.65173,82.21949,123.8334,117.6638,74.34815,81.29296,246.5773,95.18108,85.00093,28.73063,154.0962,11.30203,181.5379,55.39528,70.87823,271.0205,136.2662,87.81197,171.7062,68.81462,80.45043,104.7148,172.8518,40.08678,49.67192,94.55753,131.4046,130.2248,15.68941,91.70245,238.6973,80.52819,44.33196,66.67237499999999,22.75646
2019-12-09T12:00:00.000000+0000,210.6638,20.18032,88.40475,87.37656,64.31316,85.78083,112.7751,119.6218,74.66294,82.06085,246.1243,104.3681,79.48415,33.10223,147.9272,8.418555,182.7553,48.47021,71.35967,280.6946,134.0271,92.85795,172.2162,61.29876,78.98542,99.4873,173.6089,39.50937,50.51574,89.55914,125.3982,129.5058,16.00685,89.10235,197.3628,91.77427,46.0731,65.91645,20.18248
